onset	duration	trial_type	item	key	RT
0.0031451699999252014	14	SelfHarmOther	10	1	1.187
18.445708593999825	14	SelfHarmOther	33	1	1.592
36.687729898999805	14	SelfNeutOther	17	1	1.162
50.85336726299988	14	SelfHarmOther	6	1	1.386
67.09122152999998	14	SelfHarmOther	3	2	2.252
85.29441086399993	14	SelfNeutOther	18	1	2.014
99.49565132299995	14	SelfHarmOther	22	1	2.219
113.73146660399993	14	SelfNeutOther	15	2	1.886
127.90003940399993	14	SelfHarmOther	28	1	2.154
144.1050680699998	14	SelfHarmOther	16	1	1.338
160.307814022	14	SelfNeutOther	27	1	1.07
178.50881559299978	14	SelfNeutOther	20	1	1.504
194.6812218949999	14	SelfNeutOther	21	1	1.294
210.88161647399988	14	SelfHarmOther	32	1	2.247
229.08447157199998	14	SelfHarmOther	30	1	0.63
243.303779567	14	SelfNeutOther	2	1	1.358
261.47360488999993	14	SelfHarmOther	7	2	1.949
275.7074116629999	14	SelfNeutOther	24	1	0.838
289.85828206199994	14	SelfHarmOther	35	2	1.82
308.0994277279999	14	SelfNeutOther	29	1	0.795
326.2687851229998	14	SelfNeutOther	4	1	1.039
342.484241507	14	SelfHarmOther	34	2	0.68
358.6719457689999	14	SelfHarmOther	11	1	1.019
374.9085445359999	14	SelfNeutOther	16	1	0.788
